Date,Open,High,Low,Close,Volume,Adj Close
4/21/1983,45.63,47,45.63,46,4831200,3.05
4/20/1983,44.25,45.5,44.25,45.25,3205600,3.01
4/19/1983,44,45,43.75,44.13,3612000,2.93
4/18/1983,43.63,44.5,42.5,44,2020000,2.9
4/15/1983,42.75,44.5,42.5,43.63,1736800,2.87
4/14/1983,40.75,42.88,40.75,42.75,2983200,2.81
4/13/1983,39.88,40.75,39.88,40.5,2310400,2.67
4/12/1983,40.38,40.5,39.5,39.75,1708800,2.62
4/11/1983,40,40.88,40,40.38,2144000,2.66
4/8/1983,39.88,39.88,39.5,39.75,2314400,2.62
4/7/1983,40.25,40.25,39.5,39.88,4329600,2.63
4/6/1983,42,42,40.63,41,2959200,2.7
4/5/1983,42.75,43.13,42.13,42.25,1179200,2.78
4/4/1983,42.63,43.25,42.5,42.75,692000,2.81
3/31/1983,43.5,44,42.5,42.63,1397600,2.81
3/30/1983,43.25,43.75,43.13,43.5,1458400,2.86
3/29/1983,44.25,44.5,43.13,43.25,1052800,2.85
3/28/1983,44.75,44.75,43.63,44.25,1272000,2.91
3/25/1983,44.88,45.13,44.63,44.88,2412000,2.96
3/24/1983,45,45.63,44.5,44.88,2029600,2.96
3/23/1983,42.38,45.25,42.38,45,3158400,2.96
3/22/1983,41.63,42.5,41.63,42.13,805600,2.77
3/21/1983,40.13,41.5,40.13,41.5,1275200,2.73
3/18/1983,40.13,40.63,40,40,1902400,2.63
3/17/1983,40.25,40.38,40,40.13,1260000,2.64
3/16/1983,41.75,41.88,40.13,40.25,1954400,2.65
3/15/1983,42.13,42.13,41.38,41.75,1244000,2.75
3/14/1983,42.63,42.63,41.88,42.25,1672000,2.78
3/11/1983,43.13,43.13,42.63,42.63,1163200,2.81
3/10/1983,44.25,44.38,43.25,43.25,1439200,2.85
3/9/1983,43.75,44.25,43.63,44.25,1156000,2.91
3/8/1983,44.63,44.63,43.75,43.75,1755200,2.88
3/7/1983,44.63,44.75,44.25,44.63,928800,2.94
3/4/1983,44.88,44.88,44.25,44.63,1200800,2.94
3/3/1983,44.63,45.13,44.38,44.88,3214400,2.96
3/2/1983,44.75,44.75,43.5,44.63,2152800,2.94
3/1/1983,44.38,45.25,44.38,45,2692800,2.96
2/28/1983,44.88,44.88,44.13,44.25,1103200,2.91
2/25/1983,45.13,46,44.88,45,2268800,2.96
2/24/1983,44.63,45.5,44.63,45.13,1114400,2.97
2/23/1983,44.38,44.38,43.75,44.25,886400,2.91
2/22/1983,44.88,45.13,44.63,44.63,1468000,2.94
2/18/1983,45.13,45.5,44.75,44.88,2113600,2.96
2/17/1983,45.75,45.75,44.63,45.13,1473600,2.97
2/16/1983,46.38,46.5,45.63,45.75,1603200,3.01
2/15/1983,46.25,46.63,46.13,46.38,1669600,3.05
2/14/1983,45.5,46.5,45.5,46.25,1432800,3.05
2/11/1983,45.38,45.88,45.25,45.5,955200,3
2/10/1983,44.88,45.38,44.88,45.38,1503200,2.99
2/9/1983,44.63,45.13,44.5,44.88,1844000,2.96
2/8/1983,44.88,45.13,44.5,44.63,1224800,2.94
2/7/1983,43.25,45.25,43.25,44.88,1511200,2.96
2/4/1983,41.75,43.13,41.75,42.75,1316000,2.81
2/3/1983,41.5,42.13,41.5,41.75,1773600,2.75
2/2/1983,41.88,41.88,41,41.38,1784800,2.72
2/1/1983,42.75,43.25,41.75,42,2014400,2.77
1/31/1983,42.75,42.88,42.13,42.75,722400,2.81
1/28/1983,42.88,44.13,42.5,42.75,2843200,2.81
1/27/1983,41.13,43.5,41.13,42.88,1064800,2.82
1/26/1983,42.75,43.13,40.63,40.88,1404800,2.69
1/25/1983,43.13,43.38,42,42.75,1698400,2.81
1/24/1983,43.25,43.25,42.38,43.13,2336800,2.84
1/21/1983,44.38,44.38,43.25,44.13,1196800,2.91
1/20/1983,44.13,44.63,43.38,44.38,2182400,2.92
1/19/1983,45.5,45.63,43.5,44.13,2192000,2.91
1/18/1983,45.88,46.25,45.13,45.5,1186400,3
1/17/1983,46.25,46.75,45.63,45.88,1230400,3.02
1/14/1983,46.88,47,46,46.25,1490400,3.05
1/13/1983,47.13,47.75,46.75,46.88,2132800,3.06
1/12/1983,46.63,48,46.63,47.13,3594400,3.08
1/11/1983,47.13,47.13,45.75,46.5,2718400,3.04
1/10/1983,46.75,48,46,47.75,2647200,3.12
1/7/1983,45.38,48.63,45.25,46.75,4279200,3.05
1/6/1983,42.88,46,42.88,45.38,5636800,2.96
1/5/1983,40.75,43.25,40.75,42.5,4223200,2.78
1/4/1983,40.63,40.75,40,40.63,1417600,2.65
1/3/1983,40.5,41.13,40.5,40.63,736000,2.65
12/31/1982,40,40.5,39.88,40.13,712800,2.62
12/30/1982,40.75,41.25,40,40,1025600,2.61
12/29/1982,39.88,41.63,39.88,40.75,2185600,2.66
12/28/1982,39.5,40.38,39.5,39.63,1688000,2.59
12/27/1982,38.13,39.38,38.13,39.38,1716000,2.57
12/23/1982,37.75,38.25,37.75,38,1154400,2.48
12/22/1982,38.25,38.88,37.5,37.63,1436800,2.46
12/21/1982,37.75,38.5,37.75,38.25,2160000,2.5
12/20/1982,38,38.88,37.63,37.63,1289600,2.46
12/17/1982,37.25,38.25,37.25,38,1204000,2.48
12/16/1982,36.88,38.38,36.63,37.13,1624000,2.43
12/15/1982,37.75,37.75,36.75,36.88,1531200,2.41
12/14/1982,37.63,39.38,37.63,37.75,2952000,2.47
12/13/1982,37.5,38,37.5,37.63,1425600,2.46
12/10/1982,37.38,37.5,37.13,37.13,1396800,2.43
12/9/1982,37.75,37.75,37.13,37.38,1442400,2.44
12/8/1982,39,39.13,38.25,38.25,1498400,2.5
12/7/1982,39,40.25,38.75,39,2084800,2.55
12/6/1982,39.5,39.5,37.5,39,1843200,2.55
12/3/1982,39.63,40.38,39.63,39.75,1906400,2.6
12/2/1982,39,39.88,39,39.63,2056800,2.59
12/1/1982,39.25,39.5,38.63,39,1653600,2.55
11/30/1982,39.13,39.88,39,39.25,2821600,2.56
11/29/1982,39.75,39.75,38.75,39.13,812000,2.56
11/26/1982,39.75,40.13,39.75,39.75,553600,2.6
11/24/1982,40.13,40.13,39.38,39.75,1869600,2.6
11/23/1982,40.88,41.25,40.25,40.38,1580000,2.64
11/22/1982,42.5,42.75,40.88,40.88,1929600,2.67
11/19/1982,42.5,43.13,42.25,42.5,1112800,2.78
11/18/1982,42.25,43.13,42,42.5,1130400,2.78
11/17/1982,42.88,43.63,41.88,42.25,1386400,2.76
11/16/1982,43.25,43.25,42,42.88,1832000,2.8
11/15/1982,44.63,44.63,43.75,44,2237600,2.87
11/12/1982,45,46.38,45,45.13,2348800,2.95
11/11/1982,44.25,44.88,43,44.88,2072800,2.93
11/10/1982,45,46.38,44,44.25,4987200,2.89
11/9/1982,42.5,46.25,42.5,45,3396800,2.94
